trivial Name;Gattungsname;Artname;Autor;Status RL NDS;Stadium;Anzahl;Datum;Kommentar;Flur Bezeichnung;Breitengrad;Längengrad
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;30;29.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braune Tageule;Euclidia;glyphica;LINNAEUS, 1758;*;Imago;4;30.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gamma Eule;Autographa;gamma;LINNAEUS, 1758;*;Imago;2;30.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;6;30.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;24;30.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Distelzünsler;Myelois;circumvoluta;Geoffroy in Fourcroy, 1785;;Imago;1;30.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hartheuspanner;Siona;lineata;SCOPOLI, 1763;1;Imago;1;30.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Scheck-Tageule;Euclidia;mi;CLERCK, 1759;*;Imago;1;30.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gruenader Weissling;Pieris;napi;LINNAEUS, 1758;*;Imago;2;30.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;14;31.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;41;31.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gruenader Weissling;Pieris;napi;LINNAEUS, 1758;*;Imago;1;31.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braune Tageule;Euclidia;glyphica;LINNAEUS, 1758;*;Imago;3;31.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hartheuspanner;Siona;lineata;SCOPOLI, 1763;1;Imago;3;31.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Aurorafalter;Anthocharis;cardamines;LINNAEUS, 1758;*;Imago;1;31.05.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Sonnenroeschen Blaeuling;Aricia;agestis;DENIS & SCHIFFERMÜLLER, 1775;2;Imago;1;03.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;13;03.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gruenader Weissling;Pieris;napi;LINNAEUS, 1758;*;Imago;1;03.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hartheuspanner;Siona;lineata;SCOPOLI, 1763;1;Imago;1;03.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;7;03.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gamma Eule;Autographa;gamma;LINNAEUS, 1758;*;Imago;1;03.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braune Tageule;Euclidia;glyphica;LINNAEUS, 1758;*;Imago;2;03.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;6;04.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Kohlweissling;Pieris;rapae;LINNAEUS, 1758;*;Imago;1;04.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hartheuspanner;Siona;lineata;SCOPOLI, 1763;1;Imago;3;04.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosser Kohlweissling;Pieris;brassicae;LINNAEUS, 1758;*;Imago;2;04.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braune Tageule;Euclidia;glyphica;LINNAEUS, 1758;*;Imago;2;04.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;37;04.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braune Tageule;Euclidia;glyphica;LINNAEUS, 1758;*;Imago;3;07.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;6;07.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;13;07.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braune Tageule;Euclidia;glyphica;LINNAEUS, 1758;*;Imago;1;13.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosser Kohlweissling;Pieris;brassicae;LINNAEUS, 1758;*;Imago;2;13.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Rostfarbiger Dickkopffalter;Ochlodes;sylvanus;ESPER, 1777;*;Imago;2;13.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockergelber Blattspanner;Camptogramma;bilineata;LINNAEUS, 1758;*;Imago;2;13.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;9;13.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gruenader Weissling;Pieris;napi;LINNAEUS, 1758;*;Imago;2;13.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Violettroter Kleinspanner;Scopula;rubiginata;HUFNAGEL, 1767;2;Imago;1;13.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;25;13.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;13;13.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Rostfarbiger Dickkopffalter;Ochlodes;sylvanus;ESPER, 1777;*;Imago;2;15.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;11;15.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;14;15.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;40;15.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockergelber Blattspanner;Camptogramma;bilineata;LINNAEUS, 1758;*;Imago;1;15.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Rostfarbiger Dickkopffalter;Ochlodes;sylvanus;ESPER, 1777;*;Imago;5;17.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;20;17.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schachbrett;Melanargia;galathea;LINNAEUS, 1758;*;Imago;1;17.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;43;17.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;8;17.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockergelber Blattspanner;Camptogramma;bilineata;LINNAEUS, 1758;*;Imago;3;17.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Faulbaum Blaeuling;Celastrina;argiolus;LINNAEUS, 1758;*;Imago;1;21.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Kohlweissling;Pieris;rapae;LINNAEUS, 1758;*;Imago;1;21.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;3;21.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosser Kohlweissling;Pieris;brassicae;LINNAEUS, 1758;*;Imago;3;21.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Rostfarbiger Dickkopffalter;Ochlodes;sylvanus;ESPER, 1777;*;Imago;2;21.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;63;21.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockergelber Blattspanner;Camptogramma;bilineata;LINNAEUS, 1758;*;Imago;1;21.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schachbrett;Melanargia;galathea;LINNAEUS, 1758;*;Imago;6;21.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;7;21.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Resedafalter;Pontia;daplidice/edusa F.;Artkomplex;3;Imago;1;24.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;2;24.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;72;24.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Rostfarbiger Dickkopffalter;Ochlodes;sylvanus;ESPER, 1777;*;Imago;5;24.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gamma Eule;Autographa;gamma;LINNAEUS, 1758;*;Imago;1;24.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schachbrett;Melanargia;galathea;LINNAEUS, 1758;*;Imago;16;24.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Fuchs;Aglais;urticae;LINNAEUS, 1758;*;Imago;1;24.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gruenader Weissling;Pieris;napi;LINNAEUS, 1758;*;Imago;1;24.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;9;24.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Kohlweissling;Pieris;rapae;LINNAEUS, 1758;*;Imago;7;24.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schornsteinfeger;Aphantopus;hyperantus;LINNAEUS, 1758;*;Imago;1;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Faulbaum Blaeuling;Celastrina;argiolus;LINNAEUS, 1758;*;Imago;1;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;81;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gitterspanner;Chiasmia;clathrata;LINNAEUS, 1758;*;Imago;1;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schachbrett;Melanargia;galathea;LINNAEUS, 1758;*;Imago;32;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braune Tageule;Euclidia;glyphica;LINNAEUS, 1758;*;Imago;1;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;8;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Kohlweissling;Pieris;rapae;LINNAEUS, 1758;*;Imago;4;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;5;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braunkolbiger Braundickkopffalter;Thymelicus;sylvestris;PODA, 1761;*;Imago;4;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Rostfarbiger Dickkopffalter;Ochlodes;sylvanus;ESPER, 1777;*;Imago;2;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gamma Eule;Autographa;gamma;LINNAEUS, 1758;*;Imago;2;25.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Rostfarbiger Dickkopffalter;Ochlodes;sylvanus;ESPER, 1777;*;Imago;2;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braunkolbiger Braundickkopffalter;Thymelicus;sylvestris;PODA, 1761;*;Imago;4;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;2;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Zitronenfalter;Gonepteryx;rhamni;LINNAEUS, 1758;*;Imago;1;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Kohlweissling;Pieris;rapae;LINNAEUS, 1758;*;Imago;7;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gruenader Weissling;Pieris;napi;LINNAEUS, 1758;*;Imago;3;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schachbrett;Melanargia;galathea;LINNAEUS, 1758;*;Imago;46;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockerfarbiger Steppenheiden-Zwergspanner;Idaea;ochrata;SCOPOLI, 1763;2;Imago;5;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gamma Eule;Autographa;gamma;LINNAEUS, 1758;*;Imago;1;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;73;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;9;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Admiral;Vannessa;atalanta;LINNAEUS, 1758;M;Imago;2;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosser Kohlweissling;Pieris;brassicae;LINNAEUS, 1758;*;Imago;2;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Faulbaum Blaeuling;Celastrina;argiolus;LINNAEUS, 1758;*;Imago;1;28.06.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schachbrett;Melanargia;galathea;LINNAEUS, 1758;*;Imago;3;04.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gitterspanner;Chiasmia;clathrata;LINNAEUS, 1758;*;Imago;2;04.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;4;04.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockerfarbiger Steppenheiden-Zwergspanner;Idaea;ochrata;SCOPOLI, 1763;2;Imago;3;04.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;28;04.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Distelfalter;Vannessa;cardui;LINNAEUS, 1758;M;Imago;1;04.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Kohlweissling;Pieris;rapae;LINNAEUS, 1758;*;Imago;6;04.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;3;04.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gamma Eule;Autographa;gamma;LINNAEUS, 1758;*;Imago;4;04.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Distelfalter;Vannessa;cardui;LINNAEUS, 1758;M;Imago;2;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Tagpfauenauge;Aglais;io;LINNAEUS, 1758;*;Imago;4;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gamma Eule;Autographa;gamma;LINNAEUS, 1758;*;Imago;1;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Faulbaum Blaeuling;Celastrina;argiolus;LINNAEUS, 1758;*;Imago;3;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockerfarbiger Steppenheiden-Zwergspanner;Idaea;ochrata;SCOPOLI, 1763;2;Imago;6;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gitterspanner;Chiasmia;clathrata;LINNAEUS, 1758;*;Imago;9;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Rostfarbiger Dickkopffalter;Ochlodes;sylvanus;ESPER, 1777;*;Imago;2;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosser Kohlweissling;Pieris;brassicae;LINNAEUS, 1758;*;Imago;2;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braunkolbiger Braundickkopffalter;Thymelicus;sylvestris;PODA, 1761;*;Imago;3;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;4;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;2;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockergelber Blattspanner;Camptogramma;bilineata;LINNAEUS, 1758;*;Imago;1;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schachbrett;Melanargia;galathea;LINNAEUS, 1758;*;Imago;24;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;59;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Kohlweissling;Pieris;rapae;LINNAEUS, 1758;*;Imago;27;06.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Kohlweissling;Pieris;rapae;LINNAEUS, 1758;*;Imago;15;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gitterspanner;Chiasmia;clathrata;LINNAEUS, 1758;*;Imago;3;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gruenader Weissling;Pieris;napi;LINNAEUS, 1758;*;Imago;5;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;82;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schachbrett;Melanargia;galathea;LINNAEUS, 1758;*;Imago;45;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockerfarbiger Steppenheiden-Zwergspanner;Idaea;ochrata;SCOPOLI, 1763;2;Imago;3;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockergelber Blattspanner;Camptogramma;bilineata;LINNAEUS, 1758;*;Imago;1;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;2;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gamma Eule;Autographa;gamma;LINNAEUS, 1758;*;Imago;1;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Faulbaum Blaeuling;Celastrina;argiolus;LINNAEUS, 1758;*;Imago;1;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braunkolbiger Braundickkopffalter;Thymelicus;sylvestris;PODA, 1761;*;Imago;3;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Zitronenfalter;Gonepteryx;rhamni;LINNAEUS, 1758;*;Imago;3;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Tagpfauenauge;Aglais;io;LINNAEUS, 1758;*;Imago;9;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;4;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosser Kohlweissling;Pieris;brassicae;LINNAEUS, 1758;*;Imago;1;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Distelfalter;Vannessa;cardui;LINNAEUS, 1758;M;Imago;1;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Fuchs;Aglais;urticae;LINNAEUS, 1758;*;Imago;2;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schornsteinfeger;Aphantopus;hyperantus;LINNAEUS, 1758;*;Imago;1;07.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;50;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Kohlweissling;Pieris;rapae;LINNAEUS, 1758;*;Imago;24;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gamma Eule;Autographa;gamma;LINNAEUS, 1758;*;Imago;4;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braune Tageule;Euclidia;glyphica;LINNAEUS, 1758;*;Imago;2;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Tagpfauenauge;Aglais;io;LINNAEUS, 1758;*;Imago;4;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schachbrett;Melanargia;galathea;LINNAEUS, 1758;*;Imago;13;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Faulbaum Blaeuling;Celastrina;argiolus;LINNAEUS, 1758;*;Imago;2;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Admiral;Vannessa;atalanta;LINNAEUS, 1758;M;Imago;1;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;6;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosser Kohlweissling;Pieris;brassicae;LINNAEUS, 1758;*;Imago;1;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gitterspanner;Chiasmia;clathrata;LINNAEUS, 1758;*;Imago;3;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gruenader Weissling;Pieris;napi;LINNAEUS, 1758;*;Imago;11;13.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;21;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;14;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Tagpfauenauge;Aglais;io;LINNAEUS, 1758;*;Imago;5;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Zitronenfalter;Gonepteryx;rhamni;LINNAEUS, 1758;*;Imago;1;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Faulbaum Blaeuling;Celastrina;argiolus;LINNAEUS, 1758;*;Imago;1;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gamma Eule;Autographa;gamma;LINNAEUS, 1758;*;Imago;2;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schachbrett;Melanargia;galathea;LINNAEUS, 1758;*;Imago;5;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Kohlweissling;Pieris;rapae;LINNAEUS, 1758;*;Imago;6;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braune Tageule;Euclidia;glyphica;LINNAEUS, 1758;*;Imago;6;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockergelber Blattspanner;Camptogramma;bilineata;LINNAEUS, 1758;*;Imago;2;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Admiral;Vannessa;atalanta;LINNAEUS, 1758;M;Imago;1;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Goldene Acht;Colias;hyale;LINNAEUS, 1758;V;Imago;1;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gruenader Weissling;Pieris;napi;LINNAEUS, 1758;*;Imago;6;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosser Kohlweissling;Pieris;brassicae;LINNAEUS, 1758;*;Imago;1;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Sonnenroeschen Blaeuling;Aricia;agestis;DENIS & SCHIFFERMÜLLER, 1775;2;Imago;5;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;6;25.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Kohlweissling;Pieris;rapae;LINNAEUS, 1758;*;Imago;7;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;16;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosser Kohlweissling;Pieris;brassicae;LINNAEUS, 1758;*;Imago;3;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleines Wiesenvoegelchen;Coenonympha;pamphilus;LINNAEUS, 1758;*;Imago;4;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Kleiner Sonnenroeschen Blaeuling;Aricia;agestis;DENIS & SCHIFFERMÜLLER, 1775;2;Imago;3;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Faulbaum Blaeuling;Celastrina;argiolus;LINNAEUS, 1758;*;Imago;1;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gamma Eule;Autographa;gamma;LINNAEUS, 1758;*;Imago;3;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braune Tageule;Euclidia;glyphica;LINNAEUS, 1758;*;Imago;10;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Gruenader Weissling;Pieris;napi;LINNAEUS, 1758;*;Imago;7;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;24;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Tagpfauenauge;Aglais;io;LINNAEUS, 1758;*;Imago;8;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Zitronenfalter;Gonepteryx;rhamni;LINNAEUS, 1758;*;Imago;1;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockergelber Blattspanner;Camptogramma;bilineata;LINNAEUS, 1758;*;Imago;1;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Rhabarberzuensler;Oncocera;semirubella;SCOPOLI, 1763;;Imago;1;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Sechsfleck Widderchen;Zygaena;filipendulae;LINNAEUS, 1758;3;Imago;9;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Schachbrett;Melanargia;galathea;LINNAEUS, 1758;*;Imago;2;28.07.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Hauhechel Blaeuling;Polyommantus;icarus;ROTTEMBURG, 1775;*;Imago;7;04.08.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Braune Tageule;Euclidia;glyphica;LINNAEUS, 1758;*;Imago;4;04.08.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Grosses Ochsenauge;Maniola;jurtina;LINNAEUS, 1758;*;Imago;9;04.08.2023;;Magerbrachflaeche Schleuse;52299798;9959647
Ockergelber Blattspanner;Camptogramma;bilineata;LINNAEUS, 1758;*;Imago;2;04.08.2023;;Magerbrachflaeche Schleuse;52299798;9959647
